Transaction ID,Date,Timestamp,Amount,Product Type,Character,Vendor,Transaction Description,Location
1,2024-01-01,2024-01-01 21:46:53,15.13,dining,Spider-Man,Food Carts,Spider-Man enjoyed a meal at Pizza Places.,"Queens, New York"
2,2024-01-02,2024-01-02 14:04:25,91.34,dining,Thor,Asgardian Feasts,Thor enjoyed a meal at Asgardian Feasts.,Asgard
3,2024-01-03,2024-01-03 20:17:03,190.67,luxury items,Iron Man,Stark Industries,Iron Man indulged in luxury shopping at Stark Industries.,"Stark Tower, New York"
4,2024-01-04,2024-01-04 20:01:02,167.83,dining,Iron Man,Avengers Tower Restaurant,Iron Man enjoyed a meal at New York City Restaurants.,"Stark Tower, New York"
5,2024-01-05,2024-01-05 17:06:16,101.09,electronics,Iron Man,Stark Industries,Iron Man purchased a laptop from Stark Industries.,"Stark Tower, New York"
6,2024-01-06,2024-01-06 15:02:22,53.0,luxury items,Iron Man,Stark Industries,Iron Man indulged in luxury shopping at Stark Industries.,"Stark Tower, New York"
7,2024-01-07,2024-01-07 21:34:22,168.37,dining,Spider-Man,Pizza Places,Spider-Man enjoyed a meal at Pizza Places.,"Queens, New York"
8,2024-01-08,2024-01-08 17:26:59,133.69,weapons,Thor,Odin's Armory,Thor bought a weapon from Odin's Armory.,Asgard
9,2024-01-09,2024-01-09 15:14:20,59.11,photography supplies,Spider-Man,Daily Bugle Supplies,Spider-Man purchased photography supplies from Daily Bugle Supplies.,"Queens, New York"
10,2024-01-10,2024-01-10 15:57:21,164.02,electronics,Iron Man,Stark Industries,Iron Man purchased a laptop from Stark Industries.,"Stark Tower, New York"
11,2024-01-11,2024-01-11 14:29:02,144.69,dining,Iron Man,New York City Restaurants,Iron Man enjoyed a meal at Avengers Tower Restaurant.,"Stark Tower, New York"
12,2024-01-12,2024-01-12 20:51:02,51.54,luxury items,Iron Man,Stark Industries,Iron Man indulged in luxury shopping at Stark Industries.,"Stark Tower, New York"
13,2024-01-13,2024-01-13 21:53:03,105.76,web-slinging equipment,Spider-Man,Web-Shooters R Us,Spider-Man restocked web-slinging equipment from Web-Shooters R Us.,"Queens, New York"
14,2024-01-14,2024-01-14 20:51:13,27.98,luxury items,Iron Man,Stark Industries,Iron Man indulged in luxury shopping at Stark Industries.,"Stark Tower, New York"
15,2024-01-15,2024-01-15 18:04:51,190.49,web-slinging equipment,Spider-Man,Web-Shooters R Us,Spider-Man restocked web-slinging equipment from Web-Shooters R Us.,"Queens, New York"
16,2024-01-16,2024-01-16 21:23:54,14.2,photography supplies,Spider-Man,Daily Bugle Supplies,Spider-Man purchased photography supplies from Daily Bugle Supplies.,"Queens, New York"
17,2024-01-17,2024-01-17 18:02:00,49.24,web-slinging equipment,Spider-Man,Web-Shooters R Us,Spider-Man restocked web-slinging equipment from Web-Shooters R Us.,"Queens, New York"
18,2024-01-18,2024-01-18 18:55:07,71.65,weapons,Thor,Odin's Armory,Thor bought a weapon from Odin's Armory.,Asgard
19,2024-01-19,2024-01-19 18:40:16,137.68,rare artifacts,Thor,Asgardian Antiques,Thor acquired a rare artifact from Asgardian Antiques.,Asgard
20,2024-01-20,2024-01-20 21:57:34,123.71,dining,Thor,Asgardian Feasts,Thor enjoyed a meal at Asgardian Feasts.,Asgard
21,2024-01-21,2024-01-21 10:21:51,168.1,dining,Spider-Man,Food Carts,Spider-Man enjoyed a meal at Pizza Places.,"Queens, New York"
22,2024-01-22,2024-01-22 17:54:40,48.03,web-slinging equipment,Spider-Man,Web-Shooters R Us,Spider-Man restocked web-slinging equipment from Web-Shooters R Us.,"Queens, New York"
23,2024-01-23,2024-01-23 14:59:45,177.94,photography supplies,Spider-Man,Daily Bugle Supplies,Spider-Man purchased photography supplies from Daily Bugle Supplies.,"Queens, New York"
24,2024-01-24,2024-01-24 20:44:21,122.02,luxury items,Iron Man,Stark Industries,Iron Man indulged in luxury shopping at Stark Industries.,"Stark Tower, New York"
